property_type,society,price,price_per_sqft,bedRoom,bathroom,balcony,noOfFloor,facing,agePossession,area,has_builtup_area,locality,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,environment,lifestyle,connectivity,safety,overall_rating,nearby_count,school_count,hospital_count,bank_count,metro_count,ready_to_move,corner_plot,park_facing,freehold,newly_renovated,rental_income,fully_furnished
house,bptp visionnaire,8.024999999999999,13385,4,4,3+,3,North,Relatively New,5996.0,1,Sector 70A Gurgaon,1,1,1,1,0,2,76,5.0,4.0,4.0,4.0,4.25,15,3,1,5,0,1,0,0,0,0,0,0
house,independent,9.9,55074,6,7,3+,2,East,Moderately Old,1798.0,0,DLF Phase 2,1,1,0,0,0,2,59,5.0,5.0,5.0,5.0,5.0,42,0,4,9,7,1,0,0,1,0,0,0
house,international city by sobha phase 1,9.45,13507,4,5,3+,2,West,Relatively New,6996.0,1,Sector 109 Gurgaon,0,0,0,0,0,2,64,5.0,4.0,3.0,4.0,4.0,13,1,1,0,1,0,0,0,0,0,0,0
house,international city by sobha phase 1,18.0,22507,5,6,3,2,North-East,Relatively New,7998.0,1,Sector 109 Gurgaon,1,1,0,0,0,2,76,5.0,4.0,3.0,4.0,4.0,13,1,1,0,1,0,0,0,0,0,0,0
house,independent,0.975,13519,3,2,1,1,East,Relatively New,721.0,0,Rajendra Park,0,0,0,1,1,0,9,4.0,4.0,4.0,4.0,4.0,33,1,11,4,0,0,0,0,0,0,0,0
house,independent,0.8250000000000001,6132,3,3,2,2,South,Relatively New,1345.0,0,Laxman Vihar Phase 2,0,0,0,0,1,0,5,4.0,4.0,5.0,4.0,4.25,33,1,11,4,0,1,0,0,1,0,0,0
house,independent,1.275,945,3,3,1,1,North,Relatively New,13492.0,0,Laxman Vihar Phase 2,0,0,0,0,1,0,0,4.0,4.0,5.0,4.0,4.25,49,1,14,5,0,1,0,0,1,0,0,0
house,independent,0.8699999999999999,134710,2,2,1,2,West,Moderately Old,65.0,0,Laxman Vihar Phase 2,0,0,0,1,1,0,4,4.0,4.0,5.0,4.0,4.25,49,1,12,5,0,0,0,0,0,0,0,0
house,independent,0.975,129401,1,1,1,1,South-East,Moderately Old,75.0,0,Laxman Vihar Phase 2,0,0,0,0,1,0,13,4.0,4.0,5.0,4.0,4.25,49,1,12,5,0,0,0,0,0,0,0,0
house,independent,0.915,141677,2,2,2,2,South-East,Moderately Old,65.0,0,Laxman Vihar Phase 2,0,0,0,0,1,0,8,4.0,4.0,5.0,4.0,4.25,49,1,12,5,0,0,0,0,0,0,0,0
house,independent,1.005,133382,3,3,2,2,South,Relatively New,75.0,0,Laxman Vihar Phase 2,0,0,0,0,1,0,5,4.0,4.0,5.0,4.0,4.25,49,1,12,5,0,0,0,0,0,0,0,0
house,ansal sushant lok plots4.1 â˜…,8.7,44903,6,6,3,2,South-West,Relatively New,1938.0,0,Sushant Lok Phase 1,0,1,0,0,1,2,33,5.0,5.0,5.0,5.0,5.0,46,1,4,5,2,0,0,0,0,0,0,0
house,international city by sobha phase 1,9.0,36997,4,5,3+,2,North,Relatively New,2433.0,0,Sector 109 Gurgaon,0,1,0,0,0,2,47,5.0,4.0,3.0,4.0,4.0,13,1,1,0,1,0,0,0,0,0,0,0
house,independent,9.375,3360,9,9,3+,3,North-East,New Property,27902.0,1,Sector 57 Gurgaon,0,1,0,0,0,2,37,4.0,4.0,4.0,4.0,4.0,49,1,5,0,0,1,0,0,1,0,0,0
house,private house,10.575,70175,18,18,3+,4,North-East,Relatively New,1507.0,0,Sector 55 Gurgaon,0,0,0,0,1,1,36,4.0,4.0,5.0,4.0,4.25,48,0,4,6,3,0,0,0,0,0,1,0
house,independent,6.75,37551,16,16,3+,4,South,Relatively New,1798.0,0,Shivaji Nagar,0,0,0,0,0,2,10,4.0,4.0,5.0,4.0,4.25,50,1,25,1,0,0,0,0,1,0,0,0
