property_type,society,price,price_per_sqft,area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,builtup_area_sqft,carpet_area_sqft,Super_Built_up_area,has_super_builtup,has_builtup_area,has_carpet_area,locality,study room,servant room,store room,pooja room,others,luxury_score,environment,lifestyle,connectivity,safety,overall_rating,nearby_count,school_count,hospital_count,bank_count,metro_count,ready_to_move,corner_property,park_facing,freehold,rental_income,fully_furnished,newly_renovated
flat,surendra avenue 69,0.75,6818.0,1100.0,2,2,2,4.0,Unknown,5 to 10 Year Old,1099.962941,967.5947829236972,1131.9049598996985,0,1,0,Sector 69 Gurgaon,0,0,0,0,0,0,5.0,5.0,5.0,5.0,5.0,43,0,7,11,0,0,0,0,0,0,0,0
flat,gls arawali homes3.8 â˜…,0.35,7000.0,500.0,2,2,2,5.0,Unknown,1 to 5 Year Old,556.0,500.0,567.042252,1,1,1,Sohna,0,0,0,0,0,5,5.0,5.0,5.0,5.0,5.0,6,0,0,0,0,1,0,0,0,0,0,0
flat,godrej summit3.7 â˜…,0.82,9854.0,832.0,2,2,3,12.0,Unknown,1 to 5 Year Old,838.002462208301,752.0503766006804,880.2423230817911,0,0,0,Sector 104 Gurgaon,1,0,0,0,0,22,5.0,5.0,5.0,5.0,5.0,15,1,1,0,1,0,0,0,0,0,0,0
flat,ashiana anmol3.5 â˜…,0.88,11125.0,791.0,2,2,2,13.0,East,1 to 5 Year Old,804.2260938112479,791.0,1274.983955,1,0,1,Sohna,0,0,0,0,0,24,5.0,5.0,5.0,5.0,5.0,13,1,1,0,0,1,0,0,0,0,1,0
flat,mvn athens3.7 â˜…,0.26,5397.0,482.0,2,2,1,5.0,Unknown,1 to 5 Year Old,549.6676100383356,481.684525,551.5784317151209,0,0,1,Sohna,0,0,0,0,0,15,5.0,5.0,5.0,5.0,5.0,10,0,0,5,0,0,0,0,0,0,0,0
flat,gls arawali homes3.8 â˜…,0.27,4687.0,576.0,2,2,2,1.0,East,0 to 1 Year Old,627.1061131925549,575.976289,639.8481625393124,0,0,1,Sohna,0,0,0,0,0,8,5.0,5.0,5.0,5.0,5.0,6,0,0,0,0,0,0,0,0,0,0,0
flat,signature global city 81,0.89,8279.0,1075.0,2,2,2,3.0,North,Under Construction,1038.1892310005912,1074.990693,1108.428967659222,0,0,1,Sector 81 Gurgaon,0,0,0,0,1,4,5.0,5.0,5.0,5.0,5.0,7,1,0,0,0,0,0,0,0,0,0,0
flat,ansal heights 86,0.9,5325.0,1690.0,3,3,2,10.0,Unknown,0 to 1 Year Old,1690.0399389999998,1442.114184903473,1685.9383767749423,0,1,0,Sector 86 Gurgaon,0,0,0,0,0,5,5.0,5.0,5.0,5.0,5.0,4,1,1,0,0,0,0,0,0,0,0,0
flat,smart world gems,0.95,8903.0,1067.0,2,2,2,1.0,East,Under Construction,1031.5987200938491,578.0,1067.025407,1,0,1,Sector 89 Gurgaon,1,0,0,0,0,21,5.0,5.0,5.0,5.0,5.0,14,1,1,0,1,0,0,0,0,0,0,0
flat,green court3.7 â˜…,0.47,6811.0,690.0,2,2,1,0.0,East,0 to 1 Year Old,721.0208936136294,689.9659899999999,746.8986871558849,0,0,1,Sector 90 Gurgaon,0,0,0,0,0,8,5.0,5.0,5.0,5.0,5.0,15,3,2,2,0,0,0,1,0,0,0,0
